City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
308,Maarianhamina,AX,60.0973,19.9348,48.06,100,0,2.3,clear sky
309,Tasiilaq,GL,65.6145,-37.6368,48.36,77,42,1.5,scattered clouds
310,Thinadhoo,MV,0.5333,72.9333,82.4,76,100,8.59,overcast clouds
311,Ust-Kuyga,RU,70.0167,135.6,68.58,46,94,3.06,overcast clouds
312,Shipunovo,RU,52.1582,82.2173,60.78,83,2,8.25,clear sky
313,Muncar,ID,-8.4333,114.3333,75.72,92,88,3.2,overcast clouds
314,Chokwe,MZ,-24.5333,32.9833,65.97,54,0,6.85,clear sky
315,Handan,CN,36.6006,114.4678,72.1,77,77,5.06,broken clouds
316,Rivera,UY,-30.9053,-55.5508,65.93,87,90,7.72,overcast clouds
317,Ahipara,NZ,-35.1667,173.1667,56.98,91,100,8.75,overcast clouds
318,Bathsheba,BB,13.2167,-59.5167,84.81,88,20,18.41,few clouds
319,Leshukonskoye,RU,64.8989,45.7622,61.11,66,94,4.97,overcast clouds
320,Garissa,KE,-0.4536,39.6401,73.83,69,81,20.22,broken clouds
321,Prince Rupert,CA,54.3161,-130.3201,57.29,88,100,40.29,light rain
322,Broken Hill,AU,-31.95,141.4333,44.24,59,100,7.31,overcast clouds
323,Dunedin,NZ,-45.8742,170.5036,44.8,70,58,1.99,broken clouds
324,Posse,BR,-14.0931,-46.3694,69.22,43,0,7.25,clear sky
325,El Sauzal,MX,31.9,-116.6833,77.23,56,20,9.66,few clouds
326,Nome,US,64.5011,-165.4064,69.17,67,0,11.5,clear sky
327,Andenes,NO,69.3143,16.1194,53.92,93,40,4.61,scattered clouds
328,Mirnyy,RU,62.5353,113.9611,61.02,62,73,1.16,broken clouds
329,Dedza,MW,-14.3779,34.3332,54.14,59,46,4.85,scattered clouds
330,Isla Mujeres,MX,21.2311,-86.731,91.45,67,11,9.8,few clouds
331,Tiksi,RU,71.6872,128.8694,49.44,75,28,11.23,scattered clouds
332,Shakawe,BW,-18.3667,21.85,56.91,43,0,3.44,clear sky
333,Rawson,AR,-43.3002,-65.1023,39.79,95,100,28.43,light rain
334,Kutum,SD,14.2,24.6667,85.62,24,99,3.56,overcast clouds
335,Haapiti,PF,-17.5667,-149.8667,82.13,73,62,17.07,light rain
336,Esmeraldas,BR,-19.7625,-44.3139,68.86,58,13,8.97,few clouds
337,Darnah,LY,32.767,22.6367,76.33,72,1,13.38,clear sky
338,Kloulklubed,PW,7.0419,134.2556,83.82,70,76,5.79,broken clouds
339,Ustka,PL,54.5805,16.8619,57.65,64,65,6.55,broken clouds
340,Havre-Saint-Pierre,CA,50.2334,-63.5986,59.36,67,75,21.85,broken clouds
341,Arman,RU,59.7,150.1667,64.26,69,79,3.94,broken clouds
342,Smoky Lake,CA,54.1169,-112.4686,70.38,52,50,12.66,scattered clouds
343,Tuy Hoa,VN,13.0833,109.3,76.87,83,100,8.16,overcast clouds
344,Wucheng,CN,29.6008,118.175,81.55,90,100,2.01,overcast clouds
345,Port-Gentil,GA,-0.7193,8.7815,71.56,88,20,10.36,few clouds
346,Chifeng,CN,42.2683,118.9636,71.2,68,0,2.73,clear sky
347,Juneau,US,58.3019,-134.4197,57.22,93,100,13.8,light rain
